"2002-2003 County To County Migration  Inflows",,,,,,"North Dakota",,,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,,,
,,,,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate,,,
38,067,97,000,ND,"Pembina County Tot Mig-US",160,313,5332,,,
38,067,97,001,ND,"Pembina County Tot Mig-Same St",72,135,2116,,,
38,067,97,003,ND,"Pembina County Tot Mig-Diff St",88,178,3216,,,
38,067,38,067,ND,"Pembina County Non-Migrants",3148,7136,134881,,,
38,067,38,099,ND,"Walsh County",19,38,429,,,
38,067,38,035,ND,"Grand Forks County",18,35,477,,,
38,067,38,017,ND,"Cass County",10,15,400,,,
38,067,58,000,SS,"Other Flows - Same State",25,47,810,,,
38,067,59,000,DS,"Other Flows - Diff State",88,178,3216,,,
38,069,96,000,ND,"Pierce County Tot Mig-US & For",85,159,2641,,,
38,069,97,000,ND,"Pierce County Tot Mig-US",85,159,2641,,,
38,069,97,001,ND,"Pierce County Tot Mig-Same St",53,101,1749,,,
38,069,97,003,ND,"Pierce County Tot Mig-Diff St",32,58,893,,,
38,069,38,069,ND,"Pierce County Non-Migrants",1661,3701,52278,,,
38,069,58,000,SS,"Other Flows - Same State",53,101,1749,,,
38,069,59,000,DS,"Other Flows - Diff State",32,58,893,,,
38,071,96,000,ND,"Ramsey County Tot Mig-US & For",231,423,5986,,,
38,071,97,000,ND,"Ramsey County Tot Mig-US",231,423,5986,,,
38,071,97,001,ND,"Ramsey County Tot Mig-Same St",167,312,4135,,,
38,071,97,003,ND,"Ramsey County Tot Mig-Diff St",64,111,1851,,,
38,071,38,071,ND,"Ramsey County Non-Migrants",4314,9390,159449,,,
38,071,38,005,ND,"Benson County",41,98,761,,,
38,071,38,017,ND,"Cass County",23,46,595,,,
38,071,38,063,ND,"Nelson County",13,19,264,,,
38,071,58,000,SS,"Other Flows - Same State",90,149,2515,,,
38,071,59,000,DS,"Other Flows - Diff State",64,111,1851,,,
38,073,96,000,ND,"Ransom County Tot Mig-US & For",125,247,3354,,,
38,073,97,000,ND,"Ransom County Tot Mig-US",125,247,3354,,,
38,073,97,001,ND,"Ransom County Tot Mig-Same St",82,152,1936,,,
38,073,97,003,ND,"Ransom County Tot Mig-Diff St",43,95,1418,,,
38,073,38,073,ND,"Ransom County Non-Migrants",1996,4547,79767,,,
38,073,38,017,ND,"Cass County",26,50,580,,,
38,073,38,081,ND,"Sargent County",14,31,438,,,
38,073,58,000,SS,"Other Flows - Same State",42,71,918,,,
38,073,59,000,DS,"Other Flows - Diff State",43,95,1418,,,
38,075,96,000,ND,"Renville County Tot Mig-US & For",68,125,1717,,,
38,075,97,000,ND,"Renville County Tot Mig-US",68,125,1717,,,
38,075,97,001,ND,"Renville County Tot Mig-Same St",46,89,1140,,,
38,075,97,003,ND,"Renville County Tot Mig-Diff St",22,36,577,,,
38,075,38,075,ND,"Renville County Non-Migrants",966,2172,33659,,,
38,075,58,000,SS,"Other Flows - Same State",46,89,1140,,,
38,075,59,000,DS,"Other Flows - Diff State",22,36,577,,,
38,077,96,000,ND,"Richland County Tot Mig-US & For",467,858,12182,,,
38,077,97,000,ND,"Richland County Tot Mig-US",467,858,12182,,,
38,077,97,001,ND,"Richland County Tot Mig-Same St",228,399,6357,,,
38,077,97,003,ND,"Richland County Tot Mig-Diff St",239,459,5825,,,
38,077,38,077,ND,"Richland County Non-Migrants",6068,13752,263967,,,
38,077,38,017,ND,"Cass County",95,152,2936,,,
38,077,27,167,MN,"Wilkin County",37,62,874,,,
38,077,38,081,ND,"Sargent County",18,30,664,,,
38,077,38,035,ND,"Grand Forks County",15,21,178,,,
38,077,27,053,MN,"Hennepin County",14,22,428,,,
38,077,27,111,MN,"Otter Tail County",11,32,241,,,
38,077,38,015,ND,"Burleigh County",11,20,423,,,
38,077,58,000,SS,"Other Flows - Same State",89,176,2156,,,
38,077,59,000,DS,"Other Flows - Diff State",177,343,4282,,,
38,079,96,000,ND,"Rolette County Tot Mig-US & For",159,337,3344,,,
38,079,97,000,ND,"Rolette County Tot Mig-US",159,337,3344,,,
38,079,97,001,ND,"Rolette County Tot Mig-Same St",91,197,1726,,,
38,079,97,003,ND,"Rolette County Tot Mig-Diff St",68,140,1618,,,
38,079,38,079,ND,"Rolette County Non-Migrants",4132,10159,118748,,,
38,079,38,101,ND,"Ward County",19,39,304,,,
38,079,38,035,ND,"Grand Forks County",15,37,255,,,
38,079,38,017,ND,"Cass County",14,28,209,,,
38,079,58,000,SS,"Other Flows - Same State",43,93,958,,,
38,079,59,000,DS,"Other Flows - Diff State",68,140,1618,,,
38,081,96,000,ND,"Sargent County Tot Mig-US & For",68,147,2147,,,
38,081,97,000,ND,"Sargent County Tot Mig-US",68,147,2147,,,
38,081,97,001,ND,"Sargent County Tot Mig-Same St",43,99,1510,,,
38,081,97,003,ND,"Sargent County Tot Mig-Diff St",25,48,637,,,
38,081,38,081,ND,"Sargent County Non-Migrants",1601,3718,66196,,,
38,081,38,017,ND,"Cass County",15,35,435,,,
38,081,38,077,ND,"Richland County",10,17,455,,,
38,081,58,000,SS,"Other Flows - Same State",18,47,620,,,
38,081,59,000,DS,"Other Flows - Diff State",25,48,637,,,
38,083,96,000,ND,"Sheridan County Tot Mig-US & For",32,61,872,,,
38,083,97,000,ND,"Sheridan County Tot Mig-US",32,61,872,,,
38,083,97,001,ND,"Sheridan County Tot Mig-Same St",18,37,404,,,
38,083,97,003,ND,"Sheridan County Tot Mig-Diff St",14,24,469,,,
38,083,38,083,ND,"Sheridan County Non-Migrants",607,1313,15223,,,
38,083,58,000,SS,"Other Flows - Same State",18,37,404,,,
38,083,59,000,DS,"Other Flows - Diff State",14,24,469,,,
38,085,96,000,ND,"Sioux County Tot Mig-US & For",90,180,1889,,,
38,085,97,000,ND,"Sioux County Tot Mig-US",90,180,1889,,,
38,085,97,001,ND,"Sioux County Tot Mig-Same St",42,78,599,,,
38,085,97,003,ND,"Sioux County Tot Mig-Diff St",48,102,1290,,,
38,085,38,085,ND,"Sioux County Non-Migrants",959,2502,23870,,,
38,085,38,015,ND,"Burleigh County",25,47,363,,,
38,085,46,031,SD,"Corson County",12,23,162,,,
38,085,58,000,SS,"Other Flows - Same State",17,31,236,,,
38,085,59,000,DS,"Other Flows - Diff State",36,79,1128,,,
38,087,96,000,ND,"Slope County Tot Mig-US & For",14,23,397,,,
38,087,97,000,ND,"Slope County Tot Mig-US",14,23,397,,,
38,087,38,087,ND,"Slope County Non-Migrants",199,447,5314,,,
38,089,96,000,ND,"Stark County Tot Mig-US & For",456,833,13032,,,
38,089,97,000,ND,"Stark County Tot Mig-US",434,810,12951,,,
38,089,97,001,ND,"Stark County Tot Mig-Same St",225,413,5889,,,
38,089,97,003,ND,"Stark County Tot Mig-Diff St",209,397,7062,,,
38,089,98,000,ND,"Stark County Tot Mig-Foreign",22,23,81,,,
38,089,38,089,ND,"Stark County Non-Migrants",8092,18188,312810,,,
38,089,38,015,ND,"Burleigh County",33,57,657,,,
38,089,38,017,ND,"Cass County",26,45,796,,,
38,089,38,035,ND,"Grand Forks County",18,28,473,,,
38,089,38,007,ND,"Billings County",16,30,573,,,
38,089,38,059,ND,"Morton County",15,30,231,,,
38,089,38,105,ND,"Williams County",15,26,343,,,
38,089,38,041,ND,"Hettinger County",14,28,459,,,
38,089,38,025,ND,"Dunn County",12,19,204,,,
38,089,38,011,ND,"Bowman County",10,26,350,,,
38,089,58,000,SS,"Other Flows - Same State",66,124,1802,,,
38,089,59,000,DS,"Other Flows - Diff State",209,397,7062,,,
38,089,57,009,FR,"Foreign - Other flows",22,23,81,,,
38,091,96,000,ND,"Steele County Tot Mig-US & For",50,102,1167,,,
38,091,97,000,ND,"Steele County Tot Mig-US",50,102,1167,,,
38,091,97,001,ND,"Steele County Tot Mig-Same St",32,48,629,,,
38,091,97,003,ND,"Steele County Tot Mig-Diff St",18,54,538,,,
38,091,38,091,ND,"Steele County Non-Migrants",880,2046,36819,,,
38,091,38,017,ND,"Cass County",10,12,202,,,
38,091,58,000,SS,"Other Flows - Same State",22,36,427,,,
38,091,59,000,DS,"Other Flows - Diff State",18,54,538,,,
38,093,96,000,ND,"Stutsman County Tot Mig-US & For",388,689,10669,,,
38,093,97,000,ND,"Stutsman County Tot Mig-US",388,689,10669,,,
38,093,97,001,ND,"Stutsman County Tot Mig-Same St",225,390,5884,,,
38,093,97,003,ND,"Stutsman County Tot Mig-Diff St",163,299,4785,,,
38,093,38,093,ND,"Stutsman County Non-Migrants",7746,16627,304970,,,
38,093,38,017,ND,"Cass County",42,59,863,,,
38,093,38,003,ND,"Barnes County",29,56,844,,,
38,093,38,015,ND,"Burleigh County",21,32,528,,,
38,093,38,031,ND,"Foster County",13,26,467,,,
38,093,38,101,ND,"Ward County",12,23,481,,,
38,093,58,000,SS,"Other Flows - Same State",108,194,2702,,,
38,093,59,000,DS,"Other Flows - Diff State",163,299,4785,,,
38,095,96,000,ND,"Towner County Tot Mig-US & For",38,80,855,,,
38,095,97,000,ND,"Towner County Tot Mig-US",38,80,855,,,
38,095,97,001,ND,"Towner County Tot Mig-Same St",28,63,698,,,
38,095,97,003,ND,"Towner County Tot Mig-Diff St",10,17,157,,,
38,095,38,095,ND,"Towner County Non-Migrants",1081,2340,35077,,,
38,095,58,000,SS,"Other Flows - Same State",28,63,698,,,
38,095,59,000,DS,"Other Flows - Diff State",10,17,157,,,
38,097,96,000,ND,"Traill County Tot Mig-US & For",178,360,5433,,,
38,097,97,000,ND,"Traill County Tot Mig-US",178,360,5433,,,
38,097,97,001,ND,"Traill County Tot Mig-Same St",103,210,3294,,,
38,097,97,003,ND,"Traill County Tot Mig-Diff St",75,150,2139,,,
38,097,38,097,ND,"Traill County Non-Migrants",2781,6333,119787,,,
38,097,38,035,ND,"Grand Forks County",35,83,1178,,,
38,097,38,017,ND,"Cass County",25,49,954,,,
38,097,58,000,SS,"Other Flows - Same State",43,78,1163,,,
38,097,59,000,DS,"Other Flows - Diff State",75,150,2139,,,
38,099,96,000,ND,"Walsh County Tot Mig-US & For",202,383,5179,,,
38,099,97,000,ND,"Walsh County Tot Mig-US",202,383,5179,,,
38,099,97,001,ND,"Walsh County Tot Mig-Same St",112,208,2988,,,
38,099,97,003,ND,"Walsh County Tot Mig-Diff St",90,175,2192,,,
38,099,38,099,ND,"Walsh County Non-Migrants",4443,9760,168515,,,
38,099,38,035,ND,"Grand Forks County",42,94,1115,,,
38,099,38,017,ND,"Cass County",18,27,543,,,
38,099,38,067,ND,"Pembina County",18,35,490,,,
38,099,58,000,SS,"Other Flows - Same State",34,52,840,,,
38,099,59,000,DS,"Other Flows - Diff State",90,175,2192,,,
38,101,96,000,ND,"Ward County Tot Mig-US & For",2052,3713,56050,,,
38,101,97,000,ND,"Ward County Tot Mig-US",1838,3199,50727,,,
38,101,97,001,ND,"Ward County Tot Mig-Same St",564,926,14120,,,
38,101,97,003,ND,"Ward County Tot Mig-Diff St",1274,2273,36607,,,
38,101,98,000,ND,"Ward County Tot Mig-Foreign",214,514,5323,,,
38,101,38,101,ND,"Ward County Non-Migrants",20930,45745,824752,,,
38,101,57,005,FR,"Foreign - APO/FPO ZIPs",169,461,5151,,,
38,101,06,083,CA,"Santa Barbara County",58,131,1731,,,
38,101,38,049,ND,"Mchenry County",54,91,1522,,,
38,101,38,017,ND,"Cass County",52,86,1390,,,
38,101,38,015,ND,"Burleigh County",48,71,1194,,,
38,101,38,105,ND,"Williams County",47,64,987,,,
38,101,38,009,ND,"Bottineau County",43,66,1139,,,
38,101,38,055,ND,"Mclean County",39,63,795,,,
38,101,38,061,ND,"Mountrail County",36,78,1043,,,
38,101,38,035,ND,"Grand Forks County",33,67,961,,,
38,101,48,485,TX,"Wichita County",33,49,705,,,
38,101,38,075,ND,"Renville County",31,50,825,,,
38,101,02,020,AK,"Anchorage Borough",29,66,840,,,
38,101,38,079,ND,"Rolette County",27,41,507,,,
38,101,48,029,TX,"Bexar County",25,44,597,,,
38,101,08,041,CO,"El Paso County",17,30,502,,,
38,101,17,031,IL,"Cook County",17,28,499,,,
38,101,38,013,ND,"Burke County",16,19,313,,,
38,101,02,090,AK,"Fairbanks North Star",15,28,415,,,
38,101,06,037,CA,"Los Angeles County",15,16,206,,,
38,101,28,047,MS,"Harrison County",15,30,486,,,
38,101,38,069,ND,"Pierce County",15,25,281,,,
38,101,38,089,ND,"Stark County",15,25,386,,,
38,101,16,039,ID,"Elmore County",14,36,417,,,
38,101,38,059,ND,"Morton County",14,24,308,,,
38,101,12,091,FL,"Okaloosa County",13,27,423,,,
38,101,15,003,HI,"Honolulu County",12,23,329,,,
38,101,06,073,CA,"San Diego County",11,19,180,,,
38,101,38,071,ND,"Ramsey County",11,18,303,,,
38,101,48,441,TX,"Taylor County",11,28,409,,,
38,101,51,059,VA,"Fairfax County",11,26,550,,,
38,101,04,013,AZ,"Maricopa County",10,19,316,,,
38,101,30,111,MT,"Yellowstone County",10,13,401,,,
38,101,58,000,SS,"Other Flows - Same State",83,138,2165,,,
38,101,59,000,DS,"Other Flows - Diff State",958,1660,27601,,,
38,101,59,001,DS,"Other Flows - Northeast",108,148,1904,,,
38,101,59,003,DS,"Other Flows - Midwest",267,443,8439,,,
38,101,59,005,DS,"Other Flows - South",343,609,9746,,,
38,101,59,007,DS,"Other Flows - West",240,460,7512,,,
38,101,57,009,FR,"Foreign - Other flows",45,53,172,,,
38,103,96,000,ND,"Wells County Tot Mig-US & For",72,129,1809,,,
38,103,97,000,ND,"Wells County Tot Mig-US",72,129,1809,,,
38,103,97,001,ND,"Wells County Tot Mig-Same St",42,71,842,,,
38,103,97,003,ND,"Wells County Tot Mig-Diff St",30,58,967,,,
38,103,38,103,ND,"Wells County Non-Migrants",1813,3987,63724,,,
38,103,58,000,SS,"Other Flows - Same State",42,71,842,,,
38,103,59,000,DS,"Other Flows - Diff State",30,58,967,,,
38,105,96,000,ND,"Williams County Tot Mig-US & For",316,602,7767,,,
38,105,97,000,ND,"Williams County Tot Mig-US",316,602,7767,,,
38,105,97,001,ND,"Williams County Tot Mig-Same St",128,245,2848,,,
38,105,97,003,ND,"Williams County Tot Mig-Diff St",188,357,4919,,,
38,105,38,105,ND,"Williams County Non-Migrants",7189,16139,283130,,,
38,105,38,053,ND,"Mckenzie County",19,30,386,,,
38,105,38,101,ND,"Ward County",16,26,398,,,
38,105,30,083,MT,"Richland County",15,29,448,,,
38,105,38,089,ND,"Stark County",15,38,394,,,
38,105,38,015,ND,"Burleigh County",14,23,270,,,
38,105,38,035,ND,"Grand Forks County",12,25,184,,,
38,105,58,000,SS,"Other Flows - Same State",52,103,1216,,,
38,105,59,000,DS,"Other Flows - Diff State",173,328,4471,,,
